"Trial","Trial"
"Active","Active"
"Past Due","Past Due"
"Unpaid","Unpaid"
"Canceled","Canceled"
"Sorry, we could not complete the checkout process. Please contact us for more help.","Sorry, we could not complete the checkout process. Please contact us for more help."
"Please update your billing address to proceed","Please update your billing address to proceed"
"Buy now with Apple Pay","Buy now with Apple Pay"
"Or use a card below","Or use a card below"
"Paying by Apple Pay","Paying by Apple Pay"
"Reset","Reset"
"exp","exp"
"Use a new card","Use a new card"
"Name on Card","Name on Card"
"Card Number","Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"What is this?","What is this?"
"Save card for future purchases","Save card for future purchases"
"Saved Cards","Saved Cards"
"Actions","Actions"
"You do not have any saved cards yet.","You do not have any saved cards yet."
"Add a new saved card","Add a new saved card"
"Your card details are protected using PCI DSS v3.2 security standards.","Your card details are protected using PCI DSS v3.2 security standards."
